ski_resort_name,city,country,longitude,latitude,rating,elevation_info,total_slopes,blue_slopes,red_slopes,black_slopes,total_lifts,total_big_gondolas,total_gondolas,total_chairlifts,total_t_bars,total_moving_carpets
Ski resort Dicki – Weisslingen,Weisslingen,Switzerland,8.7640975,47.4318502,2.0 out of 5 stars,590 m - 620 m (Difference 30 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Möklinta,Möklinta,Sweden,16.5447778,60.0860283,2.0 out of 5 stars,67 m - 78 m (Difference 11 m),0.1,0.1,0.0,0.0,1.0,0,0,0,0,0
Ski resort Farnsberg,Riedenberg,Germany,9.8640017,50.3209276,2.0 out of 5 stars,715 m - 750 m (Difference 35 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Friedenweiler,Friedenweiler,Germany,8.2571947,47.917078,2.0 out of 5 stars,930 m - 957 m (Difference 27 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Hammerbodenlift – Großreifling (Landl),Großreifling,Austria,14.712251,47.6648987,2.0 out of 5 stars,500 m - 520 m (Difference 20 m),0.4,0.4,0.0,0.0,2.0,0,0,0,0,0
Ski resort Schillingstadt,Schillingstadt,Germany,9.5727054,49.4584905,2.0 out of 5 stars,371 m - 394 m (Difference 23 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Hatzesberg (Ruderting),Hatzesberg,Germany,13.4225852,48.6589369,2.0 out of 5 stars,383 m - 412 m (Difference 29 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Mattnerhalde – Prem,Prem,Germany,10.8021325,47.6772507,2.0 out of 5 stars,750 m - 770 m (Difference 20 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Gedersberg – Seiersberg,Seiersberg,Austria,15.3995619,47.0122176,2.0 out of 5 stars,378 m - 403 m (Difference 25 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Källfallsliften,Riddarhyttan,Sweden,15.5385979,59.8086479,2.0 out of 5 stars,181 m - 214 m (Difference 33 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Idealhanglift Niederdorf – Obermaiselstein,Obermaiselstein,Germany,10.2375098,47.4478874,2.0 out of 5 stars,829 m - 850 m (Difference 21 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Horský hotel Popelná (Nicov),Nicov,Czech Republic,13.6204578,49.1254295,,870 m - 914 m (Difference 44 m),0.3,0.3,0.0,0.0,0.0,0,0,0,0,0
Ski resort Ersmark,Ersmark,Sweden,20.8981835,64.8483889,2.0 out of 5 stars,22 m - 50 m (Difference 28 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Dolberglift – Saalhausen,Saalhausen,Germany,13.92134191762576,51.5957156,2.0 out of 5 stars,353 m - 392 m (Difference 39 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Etmißl (Thörl),,Austria,13.8544471,48.763425,2.0 out of 5 stars,723 m - 797 m (Difference 74 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Dry slopes Whickham Thorns Outdoor Activity Centre,Gateshead,United Kingdom,-1.6019294,54.9625789,2.0 out of 5 stars,30 m - 36 m (Difference 6 m),0.1,0.1,0.0,0.0,2.0,0,0,0,0,0
Ski resort Riffenmatt Winterpark,Guggisberg,Switzerland,7.3295779,46.7675178,2.0 out of 5 stars,1080 m - 1140 m (Difference 60 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Bajgorë,,Kosovo,,,,1210 m - 1248 m (Difference 38 m),0.3,0.3,0.0,0.0,0.0,0,0,0,0,0
Ski resort Perlesreut,Perlesreut,Germany,13.4396096,48.780497,2.0 out of 5 stars,480 m - 508 m (Difference 28 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Grünbach,Grünbach,Germany,12.3649203,50.4459805,2.0 out of 5 stars,770 m - 820 m (Difference 50 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Nüstenbach – Mosbach,Nüstenbach,Germany,9.1330467,49.3484125,2.0 out of 5 stars,220 m - 270 m (Difference 50 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Alter Garten – Rietheim-Weilheim,Rietheim-Weilheim,Germany,8.7806127,48.0391822,2.0 out of 5 stars,717 m - 733 m (Difference 16 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Stauderlift – Innervillgraten,Innervillgraten,Austria,12.3720904,46.8078411,2.0 out of 5 stars,1399 m - 1440 m (Difference 41 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Mackov kamen – Krupanj,,Serbia,20.65250855,43.641208,2.0 out of 5 stars,900 m - 923 m (Difference 23 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Heibek – Bad Lauterberg,Bad Lauterberg,Germany,10.4706667,51.6313633,2.0 out of 5 stars,300 m - 360 m (Difference 60 m),0.3,0.0,0.3,0.0,1.0,0,0,0,0,0
Ski resort Häselgehr,Häselgehr,Austria,10.48924314366543,47.29450975,2.0 out of 5 stars,1000 m - 1025 m (Difference 25 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Indoor ski area LeisureDome – Weston-super-Mare (planned),,United Kingdom,-0.1052001,51.5356253,,15 m - 35 m (Difference 20 m),0.2,0.2,0.0,0.0,0.0,0,0,0,0,0
Ski resort Wehrsdorf (Sohland an der Spree),Wehrsdorf,Germany,14.3895943,51.0551856,2.0 out of 5 stars,370 m - 420 m (Difference 50 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Schwabenwiese – Mindelheim,Mindelheim,Germany,10.4882504,48.0464164,2.0 out of 5 stars,610 m - 635 m (Difference 25 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Hajduk,Murzasichle,Poland,20.0435854,49.3116951,,850 m - 880 m (Difference 30 m),0.4,0.4,0.0,0.0,0.0,0,0,0,0,0
Ski resort Breitenwang,Reutte,Austria,10.7187955,47.4891092,2.0 out of 5 stars,800 m - 850 m (Difference 50 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Wola Nieszkowska,Wola Nieszkowska,Poland,20.3876546,49.9004338,2.0 out of 5 stars,270 m - 330 m (Difference 60 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Saalhöhe,Oberhof,Switzerland,8.0068129,47.4504204,2.0 out of 5 stars,720 m - 775 m (Difference 55 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Neusatz (Bad Herrenalb),Neusatz,Germany,8.1490959,48.6583598,2.0 out of 5 stars,600 m - 620 m (Difference 20 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Scheuerfeld,Betzdorf,Germany,7.8723802,50.7879961,2.0 out of 5 stars,250 m - 270 m (Difference 20 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Dollberg – Züsch/​Neuhütten,Neuhütten,Germany,9.4198436,50.0038552,2.0 out of 5 stars,575 m - 610 m (Difference 35 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Rätansbyn,Rätansbyn,Sweden,14.5367867,62.4610643,2.0 out of 5 stars,437 m - 461 m (Difference 24 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Klinten – Osby,Osby,Sweden,14.083333,56.416667,2.0 out of 5 stars,86 m - 103 m (Difference 17 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Lukaslift – Grabs,Grabs,Switzerland,9.4446312,47.1816557,2.0 out of 5 stars,469 m - 482 m (Difference 13 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Dry slopes Condor Dry Ski Slope,Arbroath,United Kingdom,-2.5815669,56.5586729,2.0 out of 5 stars,55 m - 70 m (Difference 15 m),0.1,0.1,0.0,0.0,2.0,0,0,0,0,0
Ski resort Übersfeld – Marxheim,Übersfeld,Germany,10.9497533,48.7996698,2.0 out of 5 stars,460 m - 492 m (Difference 32 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Rieder Weiher – Dollnstein,Dollnstein,Germany,11.0739673,48.8687764,2.0 out of 5 stars,439 m - 502 m (Difference 63 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Wurgwitz,Wurgwitz,Germany,13.6276404,51.0255828,2.0 out of 5 stars,240 m - 280 m (Difference 40 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Tschagäl – Schaan,Schaan,Liechtenstein,9.510312,47.1663397,2.0 out of 5 stars,549 m - 580 m (Difference 31 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Birkenhecke – Rückershausen,Rückershausen,Germany,8.1631141,50.5384085,2.0 out of 5 stars,500 m - 560 m (Difference 60 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Kirgel – Gaildorf,Gaildorf,Germany,9.7698525,49.0002603,2.0 out of 5 stars,385 m - 450 m (Difference 65 m),0.3,0.0,0.3,0.0,1.0,0,0,0,0,0
Ski resort Hausen ob Verena – Hohenkarpfen,,Germany,7.4192481,51.3708491,2.0 out of 5 stars,821 m - 874 m (Difference 53 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Stantorsberget – Robertsfors,Robertsfors,Sweden,20.8470259,64.1910877,2.0 out of 5 stars,40 m - 55 m (Difference 15 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Dola – Planken,Planken,Liechtenstein,9.5452211,47.1858848,2.0 out of 5 stars,793 m - 815 m (Difference 22 m),0.1,0.1,0.0,0.0,1.0,0,0,0,0,0
Ski resort Kinzenberg – Taiskirchen im Innkreis,Taiskirchen im Innkreis,Austria,13.5746936,48.2635327,2.0 out of 5 stars,474 m - 506 m (Difference 32 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Bankeryd,Bankeryd,Sweden,14.1278533,57.8631423,2.0 out of 5 stars,138 m - 190 m (Difference 52 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Katzenkopf – Walchensee,Walchensee,Germany,11.34637046024519,47.59327255,2.0 out of 5 stars,823 m - 865 m (Difference 42 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Platzhaus-Leit'n – Stuhlfelden,Stuhlfelden,Austria,12.5286819,47.288177,2.0 out of 5 stars,800 m - 850 m (Difference 50 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Kamenicki Vis – Niš,,Serbia,20.65250855,43.641208,,750 m - 800 m (Difference 50 m),0.4,0.4,0.0,0.0,0.0,0,0,0,0,0
Ski resort Orgevaux/​Les Avants,Orgevaux,Switzerland,6.9492754,46.4694083,2.0 out of 5 stars,1304 m - 1348 m (Difference 44 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Schönberg – Niederurmelsdorf (Siegenburg),,Germany,7.4192481,51.3708491,2.0 out of 5 stars,415 m - 440 m (Difference 25 m),0.2,0.0,0.2,0.0,1.0,0,0,0,0,0
Ski resort Mauertal – Söhnstetten,Söhnstetten,Germany,9.9875513,48.67151,2.0 out of 5 stars,590 m - 630 m (Difference 40 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Am Wasserturm – Dobel,Dobel,Germany,8.4936307,48.7969905,2.0 out of 5 stars,700 m - 715 m (Difference 15 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Schneckenstein – Tannenbergsthal,Tannenbergsthal,Germany,12.4612879,50.4354702,2.0 out of 5 stars,788 m - 820 m (Difference 32 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Zosterbach – Nidrum (Bütgenbach),Nidrum,Belgium,6.1968162,50.4443801,2.0 out of 5 stars,574 m - 606 m (Difference 32 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Czupel – Wisła,Wisła,Poland,20.0867774,52.380897,,535 m - 625 m (Difference 90 m),0.4,0.4,0.0,0.0,0.0,0,0,0,0,0
Ski resort Döbrastöcken (Schwarzenbach am Wald/​Naila),Döbra,Germany,11.4947051,50.2716223,2.0 out of 5 stars,650 m - 700 m (Difference 50 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Beskidek (Szczyrk),Szczyrk,Poland,19.0254613,49.7165976,2.0 out of 5 stars,531 m - 547 m (Difference 16 m),0.1,0.1,0.0,0.0,1.0,0,0,0,0,0
Ski resort Bungsberg,Schönwalde am Bungsberg,Germany,10.7536078,54.187591,2.0 out of 5 stars,140 m - 168 m (Difference 28 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Tomaszów Lubelski,Tomaszów Lubelski,Poland,23.4165561,50.4469315,,260 m - 300 m (Difference 40 m),0.4,0.4,0.0,0.0,0.0,0,0,0,0,0
Ski resort Datenberg – Bad Tabarz,Bad Tabarz,Germany,10.5143784,50.8768383,2.0 out of 5 stars,420 m - 435 m (Difference 15 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Ski Club Mörlenbach – Mount Mackenheim,Mackenheim,Germany,8.7860675,49.5621209,2.0 out of 5 stars,421 m - 465 m (Difference 44 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Katzenhalde – Queidersbach,Queidersbach,Germany,7.629807,49.3733394,2.0 out of 5 stars,341 m - 400 m (Difference 59 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Kajevall,Ljusdal,Sweden,15.7,61.866667,2.0 out of 5 stars,350 m - 406 m (Difference 56 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Auf dem Ried – Burgberg,Burgberg,Germany,7.5920916,48.1036986,2.0 out of 5 stars,968 m - 982 m (Difference 14 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Barmsee (Krün),Barmsee,Germany,11.247124963809084,47.5000596,2.0 out of 5 stars,900 m - 950 m (Difference 50 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Im Steinchen – Daaden,Daaden,Germany,7.96766,50.7391746,2.0 out of 5 stars,435 m - 470 m (Difference 35 m),0.2,0.0,0.2,0.0,1.0,0,0,0,0,0
